Date,Average_price($/unit) ,Total_Volume (units),Type,Year,City,State,Mileage (miles)
2015-01-04,$1.22 ,40873,conventional,2015,Albany, NY,2832
2015-01-04,$1.79 ,1374,organic,2015,Albany, NY,2832
2015-01-04,$1.00 ,435021,conventional,2015,Atlanta, GA,2199
2015-01-04,$1.76 ,3847,organic,2015,Atlanta, GA,2199
2015-01-04,$1.08 ,788025,conventional,2015,BaltimoreWashington, MD,2679
2015-01-04,$1.29 ,19137,organic,2015,BaltimoreWashington, MD,2679
2015-01-04,$1.01 ,80034,conventional,2015,Boise, ID,827
2015-01-04,$1.64 ,1505,organic,2015,Boise, ID,827
2015-01-04,$1.02 ,491738,conventional,2015,Boston, MA,2998
2015-01-04,$1.83 ,2192,organic,2015,Boston, MA,2998
2015-01-04,$1.40 ,116253,conventional,2015,BuffaloRochester, NY,2552
2015-01-04,$1.73 ,380,organic,2015,BuffaloRochester, NY,2552
2015-01-04,$1.19 ,166006,conventional,2015,Charlotte, NC,2428
2015-01-04,$2.13 ,2966,organic,2015,Charlotte, NC,2428
2015-01-04,$1.11 ,783068,conventional,2015,Chicago, IL,2030
2015-01-04,$1.49 ,17723,organic,2015,Chicago, IL,2030
2015-01-04,$0.88 ,228570,conventional,2015,CincinnatiDayton, OH,2190
2015-01-04,$1.34 ,8764,organic,2015,CincinnatiDayton, OH,2190
2015-01-04,$0.89 ,158638,conventional,2015,Columbus, OH,2261
2015-01-04,$1.44 ,3931,organic,2015,Columbus, OH,2261
2015-01-04,$0.74 ,1086364,conventional,2015,DallasFtWorth, TX,1449
2015-01-04,$1.35 ,9896,organic,2015,DallasFtWorth, TX,1449
2015-01-04,$0.99 ,668086,conventional,2015,Denver, CO,1032
2015-01-04,$1.42 ,22480,organic,2015,Denver, CO,1032
2015-01-04,$1.01 ,369694,conventional,2015,Detroit, MI,2296
2015-01-04,$1.70 ,7446,organic,2015,Detroit, MI,2296
2015-01-04,$0.95 ,258980,conventional,2015,Grand Rapids, MI,2193
2015-01-04,$1.60 ,1013,organic,2015,Grand Rapids, MI,2193
2015-01-04,$1.05 ,203939,conventional,2015,HarrisburgScranton, PA,2717
2015-01-04,$1.68 ,2897,organic,2015,HarrisburgScranton, PA,2717
2015-01-04,$1.06 ,332208,conventional,2015,HartfordSpringfield, CT,2906
2015-01-04,$2.32 ,4801,organic,2015,HartfordSpringfield, CT,2906
2015-01-04,$0.71 ,1062991,conventional,2015,Houston, TX,1656
2015-01-04,$1.22 ,8938,organic,2015,Houston, TX,1656
2015-01-04,$1.02 ,160130,conventional,2015,Indianapolis, IN,2083
2015-01-04,$1.63 ,1781,organic,2015,Indianapolis, IN,2083
2015-01-04,$0.97 ,153507,conventional,2015,Jacksonville, FL,2440
2015-01-04,$1.81 ,1381,organic,2015,Jacksonville, FL,2440
2015-01-04,$0.80 ,317861,conventional,2015,Las Vegas, NV,286
2015-01-04,$1.50 ,6330,organic,2015,Las Vegas, NV,286
2015-01-04,$0.85 ,2682160,conventional,2015,Los Angeles, CA,111
2015-01-04,$1.25 ,54496,organic,2015,Los Angeles, CA,111
2015-01-04,$0.92 ,101163,conventional,2015,Louisville, KY,2101
2015-01-04,$1.48 ,1396,organic,2015,Louisville, KY,2101
2015-01-04,$1.00 ,162163,conventional,2015,Nashville, TN,2022
2015-01-04,$1.84 ,3966,organic,2015,Nashville, TN,2022
2015-01-04,$0.94 ,222752,conventional,2015,New Orleans, LA,1954
2015-01-04,$1.41 ,2604,organic,2015,New Orleans, LA,1954
2015-01-04,$1.09 ,1402890,conventional,2015,New York, NY,2794
2015-01-04,$1.93 ,17328,organic,2015,New York, NY,2794
2015-01-04,$1.00 ,281803,conventional,2015,Orlando, FL,2617
2015-01-04,$1.80 ,2057,organic,2015,Orlando, FL,2617
2015-01-04,$1.10 ,407676,conventional,2015,Philadelphia, PA,2759
2015-01-04,$1.72 ,3789,organic,2015,Philadelphia, PA,2759
2015-01-04,$0.65 ,1048062,conventional,2015,PhoenixTucson, AZ,482
2015-01-04,$1.12 ,17297,organic,2015,PhoenixTucson, AZ,482
2015-01-04,$1.52 ,54957,conventional,2015,Pittsburgh, PA,2445
2015-01-04,$1.81 ,1339,organic,2015,Pittsburgh, PA,2445
2015-01-04,$0.97 ,599966,conventional,2015,Portland, OR,855
2015-01-04,$1.28 ,32928,organic,2015,Portland, OR,855
2015-01-04,$1.20 ,221086,conventional,2015,RaleighGreensboro, NC,2557
2015-01-04,$2.01 ,3397,organic,2015,RaleighGreensboro, NC,2557
2015-01-04,$1.13 ,182698,conventional,2015,RichmondNorfolk, VA,2632
2015-01-04,$1.54 ,4212,organic,2015,RichmondNorfolk, VA,2632
2015-01-04,$1.05 ,430139,conventional,2015,Sacramento, CA,277
2015-01-04,$1.33 ,9213,organic,2015,Sacramento, CA,277
2015-01-04,$0.94 ,461607,conventional,2015,San Diego, CA,253
2015-01-04,$1.23 ,19089,organic,2015,San Diego, CA,253
2015-01-04,$0.99 ,907796,conventional,2015,San Francisco, CA,283
2015-01-04,$1.18 ,22631,organic,2015,San Francisco, CA,283
2015-01-04,$0.97 ,634522,conventional,2015,Seattle, WA,1029
2015-01-04,$1.49 ,33796,organic,2015,Seattle, WA,1029
2015-01-04,$1.00 ,84612,conventional,2015,Spokane, WA,1097
2015-01-04,$1.30 ,5783,organic,2015,Spokane, WA,1097
2015-01-04,$1.15 ,198735,conventional,2015,St. Louis, MO,1841
2015-01-04,$1.80 ,3597,organic,2015,St. Louis, MO,1841
2015-01-04,$1.33 ,41144,conventional,2015,Syracuse, NY,2693
2015-01-04,$1.72 ,593,organic,2015,Syracuse, NY,2693
2015-01-04,$0.97 ,339909,conventional,2015,Tampa, FL,2636
2015-01-04,$1.70 ,1885,organic,2015,Tampa, FL,2636
2015-01-11,$1.24 ,41195,conventional,2015,Albany, NY,2832
2015-01-11,$1.77 ,1183,organic,2015,Albany, NY,2832
2015-01-11,$1.11 ,397543,conventional,2015,Atlanta, GA,2199
2015-01-11,$1.84 ,3744,organic,2015,Atlanta, GA,2199
2015-01-11,$1.17 ,670232,conventional,2015,BaltimoreWashington, MD,2679
2015-01-11,$1.22 ,26009,organic,2015,BaltimoreWashington, MD,2679
2015-01-11,$1.18 ,57356,conventional,2015,Boise, ID,827
2015-01-11,$1.44 ,2379,organic,2015,Boise, ID,827
2015-01-11,$1.10 ,437772,conventional,2015,Boston, MA,2998
2015-01-11,$1.94 ,2218,organic,2015,Boston, MA,2998
2015-01-11,$1.54 ,106221,conventional,2015,BuffaloRochester, NY,2552
2015-01-11,$1.59 ,2078,organic,2015,BuffaloRochester, NY,2552
2015-01-11,$1.26 ,159943,conventional,2015,Charlotte, NC,2428
2015-01-11,$2.29 ,2390,organic,2015,Charlotte, NC,2428
2015-01-11,$1.15 ,802875,conventional,2015,Chicago, IL,2030
2015-01-11,$1.79 ,12916,organic,2015,Chicago, IL,2030
2015-01-11,$0.92 ,201392,conventional,2015,CincinnatiDayton, OH,2190
2015-01-11,$1.32 ,11314,organic,2015,CincinnatiDayton, OH,2190
2015-01-11,$0.97 ,125742,conventional,2015,Columbus, OH,2261
2015-01-11,$1.68 ,4193,organic,2015,Columbus, OH,2261
2015-01-11,$0.76 ,1128693,conventional,2015,DallasFtWorth, TX,1449
2015-01-11,$1.35 ,12127,organic,2015,DallasFtWorth, TX,1449
2015-01-11,$1.09 ,666579,conventional,2015,Denver, CO,1032
2015-01-11,$1.28 ,30683,organic,2015,Denver, CO,1032
2015-01-11,$1.08 ,332165,conventional,2015,Detroit, MI,2296
2015-01-11,$1.87 ,6927,organic,2015,Detroit, MI,2296
2015-01-11,$1.03 ,185135,conventional,2015,Grand Rapids, MI,2193
2015-01-11,$1.87 ,762,organic,2015,Grand Rapids, MI,2193
2015-01-11,$1.26 ,178735,conventional,2015,HarrisburgScranton, PA,2717
2015-01-11,$1.65 ,3883,organic,2015,HarrisburgScranton, PA,2717
2015-01-11,$1.38 ,232640,conventional,2015,HartfordSpringfield, CT,2906
2015-01-11,$2.28 ,3464,organic,2015,HartfordSpringfield, CT,2906
2015-01-11,$0.78 ,1062072,conventional,2015,Houston, TX,1656
2015-01-11,$1.26 ,7561,organic,2015,Houston, TX,1656
2015-01-11,$1.25 ,138617,conventional,2015,Indianapolis, IN,2083
2015-01-11,$1.83 ,1410,organic,2015,Indianapolis, IN,2083
2015-01-11,$1.20 ,99757,conventional,2015,Jacksonville, FL,2440
2015-01-11,$1.91 ,1249,organic,2015,Jacksonville, FL,2440
2015-01-11,$0.93 ,274481,conventional,2015,Las Vegas, NV,286
2015-01-11,$1.54 ,6145,organic,2015,Las Vegas, NV,286
2015-01-11,$0.85 ,2713700,conventional,2015,Los Angeles, CA,111
2015-01-11,$1.08 ,60233,organic,2015,Los Angeles, CA,111
2015-01-11,$1.05 ,75129,conventional,2015,Louisville, KY,2101
2015-01-11,$1.79 ,1435,organic,2015,Louisville, KY,2101
2015-01-11,$1.07 ,149832,conventional,2015,Nashville, TN,2022
2015-01-11,$1.92 ,2892,organic,2015,Nashville, TN,2022
2015-01-11,$0.97 ,239232,conventional,2015,New Orleans, LA,1954
2015-01-11,$1.44 ,1492,organic,2015,New Orleans, LA,1954
2015-01-11,$1.34 ,1018226,conventional,2015,New York, NY,2794
2015-01-11,$2.03 ,14818,organic,2015,New York, NY,2794
2015-01-11,$1.29 ,202035,conventional,2015,Orlando, FL,2617
2015-01-11,$1.92 ,1611,organic,2015,Orlando, FL,2617
2015-01-11,$1.38 ,315984,conventional,2015,Philadelphia, PA,2759
2015-01-11,$1.63 ,6715,organic,2015,Philadelphia, PA,2759
2015-01-11,$0.61 ,1110753,conventional,2015,PhoenixTucson, AZ,482
2015-01-11,$1.36 ,14035,organic,2015,PhoenixTucson, AZ,482
2015-01-11,$1.54 ,54644,conventional,2015,Pittsburgh, PA,2445
2015-01-11,$1.82 ,1663,organic,2015,Pittsburgh, PA,2445
2015-01-11,$1.05 ,510153,conventional,2015,Portland, OR,855
2015-01-11,$1.22 ,43116,organic,2015,Portland, OR,855
2015-01-11,$1.24 ,205761,conventional,2015,RaleighGreensboro, NC,2557
2015-01-11,$1.98 ,3863,organic,2015,RaleighGreensboro, NC,2557
2015-01-11,$1.15 ,194461,conventional,2015,RichmondNorfolk, VA,2632
2015-01-11,$1.66 ,2914,organic,2015,RichmondNorfolk, VA,2632
2015-01-11,$1.09 ,429492,conventional,2015,Sacramento, CA,277
