Date,Average_price($/unit),Total_Volume (units),Type,Year,City,State,Mileage (miles),Average_price,Total_Volume,Mileage_miles,Revenue
2019-01-07,$0.92 ,111277,conventional,2019,Albany,NY,2832,0.92,111277,2832,102374.84000000001
2019-01-07,$1.52 ,4291,organic,2019,Albany,NY,2832,1.52,4291,2832,6522.32
2019-01-07,$0.95 ,728914,conventional,2019,Atlanta,GA,2199,0.95,728914,2199,692468.2999999999
2019-01-07,$1.59 ,29320,organic,2019,Atlanta,GA,2199,1.59,29320,2199,46618.8
2019-01-07,$1.38 ,805565,conventional,2019,BaltimoreWashington,MD,2679,1.38,805565,2679,1111679.7
2019-01-07,$1.46 ,70848,organic,2019,BaltimoreWashington,MD,2679,1.46,70848,2679,103438.08
2019-01-07,$1.27 ,104342,conventional,2019,Boise,ID,827,1.27,104342,827,132514.34
2019-01-07,$1.83 ,3315,organic,2019,Boise,ID,827,1.83,3315,827,6066.45
2019-01-07,$1.37 ,634408,conventional,2019,Boston,MA,2998,1.37,634408,2998,869138.9600000001
2019-01-07,$1.82 ,23841,organic,2019,Boston,MA,2998,1.82,23841,2998,43390.62
2019-01-07,$1.26 ,172756,conventional,2019,BuffaloRochester,NY,2552,1.26,172756,2552,217672.56
2019-01-07,$1.48 ,15487,organic,2019,BuffaloRochester,NY,2552,1.48,15487,2552,22920.76
2019-01-07,$1.16 ,303873,conventional,2019,Charlotte,NC,2428,1.16,303873,2428,352492.68
2019-01-07,$1.60 ,17915,organic,2019,Charlotte,NC,2428,1.6,17915,2428,28664.0
2019-01-07,$1.42 ,723096,conventional,2019,Chicago,IL,2030,1.42,723096,2030,1026796.32
2019-01-07,$1.23 ,98600,organic,2019,Chicago,IL,2030,1.23,98600,2030,121278.0
2019-01-07,$0.97 ,312848,conventional,2019,CincinnatiDayton,OH,2190,0.97,312848,2190,303462.56
2019-01-07,$1.55 ,20791,organic,2019,CincinnatiDayton,OH,2190,1.55,20791,2190,32226.05
2019-01-07,$0.91 ,262924,conventional,2019,Columbus,OH,2261,0.91,262924,2261,239260.84
2019-01-07,$1.50 ,14024,organic,2019,Columbus,OH,2261,1.5,14024,2261,21036.0
2019-01-07,$0.72 ,1547211,conventional,2019,DallasFtWorth,TX,1449,0.72,1547211,1449,1113991.92
2019-01-07,$1.56 ,31428,organic,2019,DallasFtWorth,TX,1449,1.56,31428,1449,49027.68
2019-01-07,$1.09 ,920413,conventional,2019,Denver,CO,1032,1.09,920413,1032,1003250.17
2019-01-07,$1.60 ,30862,organic,2019,Denver,CO,1032,1.6,30862,1032,49379.200000000004
2019-01-07,$0.98 ,494561,conventional,2019,Detroit,MI,2296,0.98,494561,2296,484669.77999999997
2019-01-07,$1.47 ,25182,organic,2019,Detroit,MI,2296,1.47,25182,2296,37017.54
2019-01-07,$1.28 ,186829,conventional,2019,Grand Rapids,MI,2193,1.28,186829,2193,239141.12
2019-01-07,$1.56 ,9291,organic,2019,Grand Rapids,MI,2193,1.56,9291,2193,14493.960000000001
2019-01-07,$1.08 ,319391,conventional,2019,HarrisburgScranton,PA,2717,1.08,319391,2717,344942.28
2019-01-07,$1.38 ,19997,organic,2019,HarrisburgScranton,PA,2717,1.38,19997,2717,27595.859999999997
2019-01-07,$1.33 ,312574,conventional,2019,HartfordSpringfield,CT,2906,1.33,312574,2906,415723.42000000004
2019-01-07,$1.90 ,19085,organic,2019,HartfordSpringfield,CT,2906,1.9,19085,2906,36261.5
2019-01-07,$0.67 ,1413602,conventional,2019,Houston,TX,1656,0.67,1413602,1656,947113.3400000001
2019-01-07,$1.65 ,18156,organic,2019,Houston,TX,1656,1.65,18156,1656,29957.399999999998
2019-01-07,$0.96 ,254064,conventional,2019,Indianapolis,IN,2083,0.96,254064,2083,243901.44
2019-01-07,$1.53 ,10508,organic,2019,Indianapolis,IN,2083,1.53,10508,2083,16077.24
2019-01-07,$1.16 ,194036,conventional,2019,Jacksonville,FL,2440,1.16,194036,2440,225081.75999999998
2019-01-07,$1.54 ,6579,organic,2019,Jacksonville,FL,2440,1.54,6579,2440,10131.66
2019-01-07,$1.08 ,337918,conventional,2019,Las Vegas,NV,286,1.08,337918,286,364951.44
2019-01-07,$1.61 ,13059,organic,2019,Las Vegas,NV,286,1.61,13059,286,21024.99
2019-01-07,$0.92 ,3084450,conventional,2019,Los Angeles,CA,111,0.92,3084450,111,2837694.0
2019-01-07,$1.86 ,86214,organic,2019,Los Angeles,CA,111,1.86,86214,111,160358.04
2019-01-07,$1.01 ,125385,conventional,2019,Louisville,KY,2101,1.01,125385,2101,126638.85
2019-01-07,$1.46 ,8129,organic,2019,Louisville,KY,2101,1.46,8129,2101,11868.34
2019-01-07,$0.97 ,286203,conventional,2019,Nashville,TN,2022,0.97,286203,2022,277616.91
2019-01-07,$1.62 ,13117,organic,2019,Nashville,TN,2022,1.62,13117,2022,21249.54
2019-01-07,$1.18 ,269496,conventional,2019,New Orleans,LA,1954,1.18,269496,1954,318005.27999999997
2019-01-07,$1.44 ,8171,organic,2019,New Orleans,LA,1954,1.44,8171,1954,11766.24
2019-01-07,$1.46 ,1481997,conventional,2019,New York,NY,2794,1.46,1481997,2794,2163715.62
2019-01-07,$1.78 ,99514,organic,2019,New York,NY,2794,1.78,99514,2794,177134.92
2019-01-07,$1.13 ,445769,conventional,2019,Orlando,FL,2617,1.13,445769,2617,503718.97
2019-01-07,$1.49 ,16617,organic,2019,Orlando,FL,2617,1.49,16617,2617,24759.329999999998
2019-01-07,$1.26 ,513812,conventional,2019,Philadelphia,PA,2759,1.26,513812,2759,647403.12
2019-01-07,$1.51 ,31715,organic,2019,Philadelphia,PA,2759,1.51,31715,2759,47889.65
2019-01-07,$0.81 ,1197057,conventional,2019,PhoenixTucson,AZ,482,0.81,1197057,482,969616.17
2019-01-07,$1.09 ,45048,organic,2019,PhoenixTucson,AZ,482,1.09,45048,482,49102.32000000001
2019-01-07,$1.33 ,103319,conventional,2019,Pittsburgh,PA,2445,1.33,103319,2445,137414.27000000002
2019-01-07,$1.35 ,12876,organic,2019,Pittsburgh,PA,2445,1.35,12876,2445,17382.600000000002
2019-01-07,$1.18 ,647948,conventional,2019,Portland,OR,855,1.18,647948,855,764578.64
2019-01-07,$1.95 ,28723,organic,2019,Portland,OR,855,1.95,28723,855,56009.85
2019-01-07,$1.12 ,371566,conventional,2019,RaleighGreensboro,NC,2557,1.12,371566,2557,416153.92000000004
2019-01-07,$1.55 ,24692,organic,2019,RaleighGreensboro,NC,2557,1.55,24692,2557,38272.6
2019-01-07,$0.96 ,316457,conventional,2019,RichmondNorfolk,VA,2632,0.96,316457,2632,303798.72
2019-01-07,$1.41 ,23019,organic,2019,RichmondNorfolk,VA,2632,1.41,23019,2632,32456.789999999997
2019-01-07,$1.35 ,500390,conventional,2019,Sacramento,CA,277,1.35,500390,277,675526.5
2019-01-07,$1.85 ,14051,organic,2019,Sacramento,CA,277,1.85,14051,277,25994.350000000002
2019-01-07,$0.99 ,518983,conventional,2019,San Diego,CA,253,0.99,518983,253,513793.17
2019-01-07,$1.91 ,20336,organic,2019,San Diego,CA,253,1.91,20336,253,38841.759999999995
2019-01-07,$1.60 ,774469,conventional,2019,San Francisco,CA,283,1.6,774469,283,1239150.4000000001
2019-01-07,$2.12 ,48856,organic,2019,San Francisco,CA,283,2.12,48856,283,103574.72
2019-01-07,$1.45 ,504831,conventional,2019,Seattle,WA,1029,1.45,504831,1029,732004.95
2019-01-07,$1.69 ,83286,organic,2019,Seattle,WA,1029,1.69,83286,1029,140753.34
2019-01-07,$1.15 ,93865,conventional,2019,Spokane,WA,1097,1.15,93865,1097,107944.74999999999
2019-01-07,$2.12 ,3801,organic,2019,Spokane,WA,1097,2.12,3801,1097,8058.120000000001
2019-01-07,$1.18 ,189632,conventional,2019,St. Louis,MO,1841,1.18,189632,1841,223765.75999999998
2019-01-07,$1.46 ,12448,organic,2019,St. Louis,MO,1841,1.46,12448,1841,18174.079999999998
2019-01-07,$1.09 ,79963,conventional,2019,Syracuse,NY,2693,1.09,79963,2693,87159.67000000001
2019-01-07,$1.40 ,6879,organic,2019,Syracuse,NY,2693,1.4,6879,2693,9630.599999999999
2019-01-07,$1.14 ,482893,conventional,2019,Tampa,FL,2636,1.14,482893,2636,550498.0199999999
2019-01-07,$1.48 ,13304,organic,2019,Tampa,FL,2636,1.48,13304,2636,19689.92
2019-01-13,$0.91 ,115663,conventional,2019,Albany,NY,2832,0.91,115663,2832,105253.33
2019-01-13,$1.39 ,5112,organic,2019,Albany,NY,2832,1.39,5112,2832,7105.679999999999
2019-01-13,$0.94 ,753539,conventional,2019,Atlanta,GA,2199,0.94,753539,2199,708326.6599999999
2019-01-13,$1.70 ,28044,organic,2019,Atlanta,GA,2199,1.7,28044,2199,47674.799999999996
2019-01-13,$1.41 ,835323,conventional,2019,BaltimoreWashington,MD,2679,1.41,835323,2679,1177805.43
2019-01-13,$1.48 ,78941,organic,2019,BaltimoreWashington,MD,2679,1.48,78941,2679,116832.68
2019-01-13,$1.05 ,121937,conventional,2019,Boise,ID,827,1.05,121937,827,128033.85
2019-01-13,$1.83 ,3680,organic,2019,Boise,ID,827,1.83,3680,827,6734.400000000001
2019-01-13,$1.41 ,572577,conventional,2019,Boston,MA,2998,1.41,572577,2998,807333.57
2019-01-13,$1.73 ,28605,organic,2019,Boston,MA,2998,1.73,28605,2998,49486.65
2019-01-13,$1.25 ,157727,conventional,2019,BuffaloRochester,NY,2552,1.25,157727,2552,197158.75
2019-01-13,$1.31 ,24441,organic,2019,BuffaloRochester,NY,2552,1.31,24441,2552,32017.710000000003
2019-01-13,$1.14 ,311711,conventional,2019,Charlotte,NC,2428,1.14,311711,2428,355350.54
2019-01-13,$1.56 ,17234,organic,2019,Charlotte,NC,2428,1.56,17234,2428,26885.04
2019-01-13,$1.12 ,755058,conventional,2019,Chicago,IL,2030,1.12,755058,2030,845664.9600000001
2019-01-13,$1.48 ,60784,organic,2019,Chicago,IL,2030,1.48,60784,2030,89960.31999999999
2019-01-13,$0.93 ,361121,conventional,2019,CincinnatiDayton,OH,2190,0.93,361121,2190,335842.53
2019-01-13,$1.83 ,21803,organic,2019,CincinnatiDayton,OH,2190,1.83,21803,2190,39899.49
2019-01-13,$0.91 ,282119,conventional,2019,Columbus,OH,2261,0.91,282119,2261,256728.29
2019-01-13,$1.51 ,16356,organic,2019,Columbus,OH,2261,1.51,16356,2261,24697.56
2019-01-13,$0.76 ,1574302,conventional,2019,DallasFtWorth,TX,1449,0.76,1574302,1449,1196469.52
2019-01-13,$1.56 ,26273,organic,2019,DallasFtWorth,TX,1449,1.56,26273,1449,40985.880000000005
2019-01-13,$1.13 ,1019276,conventional,2019,Denver,CO,1032,1.13,1019276,1032,1151781.88
