Period,Type,City,Sales_Dollars
2019,conventional,Los Angeles,168441113.66
2019,organic,Los Angeles,9068580.19
2020,conventional,Los Angeles,183468438.65
2020,organic,Los Angeles,11908220.99
2021,conventional,Los Angeles,185781878.55
2021,organic,Los Angeles,12707651.17
2022,conventional,Los Angeles,200884971.76
2022,organic,Los Angeles,11802704.11
2023,conventional,Los Angeles,183874319.76
2023,organic,Los Angeles,11217465.08
2024,conventional,Los Angeles,211232192.3
2024,organic,Los Angeles,15265758.39
2025 H1,conventional,Los Angeles,113191850.63
2025 H1,organic,Los Angeles,8145110.53
