City,State,Mileage_miles,avg_retail_price_jun2025,forecast_retail_price_jun2026,planned_wholesale_price,Revenue,Base_Shipping_Cost,Shipping_Cost,Acquisition_Cost,Total_Cost,Profit,Profit_Margin
Seattle,WA,1029,2.66,2.66,1.064,21280.0,2014.5,2014.5,4000.0,6014.5,15265.5,0.7173637218045112
Boise,ID,827,2.5940000000000003,2.5940000000000003,1.0376,20752.0,1913.5,1913.5,4000.0,5913.5,14838.5,0.7150395142636854
Portland,OR,855,2.542,2.542,1.0168,20336.0,1927.5,1927.5,4000.0,5927.5,14408.5,0.708521833202203
Spokane,WA,1097,2.38,2.38,0.952,19040.0,2048.5,2048.5,4000.0,6048.5,12991.5,0.6823266806722689
San Diego,CA,253,2.094,2.094,0.8376,16752.0,1626.5,1626.5,4000.0,5626.5,11125.5,0.6641296561604585
San Francisco,CA,283,1.97,1.97,0.788,15760.0,1641.5,1641.5,4000.0,5641.5,10118.5,0.6420368020304569
Sacramento,CA,277,1.902,1.902,0.7608,15216.0,1638.5,1638.5,4000.0,5638.5,9577.5,0.629436119873817
Los Angeles,CA,111,1.8699999999999999,1.8699999999999999,0.748,14960.0,1555.5,1555.5,4000.0,5555.5,9404.5,0.6286430481283423
CincinnatiDayton,OH,2190,1.922,1.922,0.7688,15376.0,2595.0,2595.0,4000.0,6595.0,8781.0,0.5710848074921956
Las Vegas,NV,286,1.732,1.732,0.6928000000000001,13856.000000000002,1643.0,1643.0,4000.0,5643.0,8213.000000000002,0.5927396073903003
Atlanta,GA,2199,1.8219999999999998,1.8219999999999998,0.7288,14576.0,2599.5,2599.5,4000.0,6599.5,7976.5,0.5472351811196488
Denver,CO,1032,1.7420000000000002,1.7420000000000002,0.6968000000000001,13936.000000000002,2016.0,2016.0,4000.0,6016.0,7920.000000000002,0.5683122847301952
Jacksonville,FL,2440,1.738,1.738,0.6952,13904.0,2720.0,2720.0,4000.0,6720.0,7184.0,0.5166858457997698
Columbus,OH,2261,1.7259999999999998,1.7259999999999998,0.6903999999999999,13807.999999999998,2630.5,2630.5,4000.0,6630.5,7177.499999999998,0.5198073580533024
Boston,MA,2998,1.77,1.77,0.7080000000000001,14160.000000000002,2999.0,2999.0,4000.0,6999.0,7161.000000000002,0.5057203389830509
PhoenixTucson,AZ,482,1.61,1.61,0.6440000000000001,12880.000000000002,1741.0,1741.0,4000.0,5741.0,7139.000000000002,0.5542701863354038
Louisville,KY,2101,1.7079999999999997,1.7079999999999997,0.6831999999999999,13663.999999999998,2550.5,2550.5,4000.0,6550.5,7113.499999999998,0.5206015807962528
Orlando,FL,2617,1.698,1.698,0.6792,13584.0,2808.5,2808.5,4000.0,6808.5,6775.5,0.49878533568904593
Indianapolis,IN,2083,1.6620000000000001,1.6620000000000001,0.6648000000000001,13296.000000000002,2541.5,2541.5,4000.0,6541.5,6754.500000000002,0.508009927797834
Detroit,MI,2296,1.666,1.666,0.6664,13328.0,2648.0,2648.0,4000.0,6648.0,6680.0,0.5012004801920769
Nashville,TN,2022,1.642,1.642,0.6568,13136.000000000002,2511.0,2511.0,4000.0,6511.0,6625.000000000002,0.5043392204628503
Philadelphia,PA,2759,1.654,1.654,0.6616,13232.0,2879.5,2879.5,4000.0,6879.5,6352.5,0.4800861547762999
New York,NY,2794,1.656,1.656,0.6624,13248.0,2897.0,2897.0,4000.0,6897.0,6351.0,0.479393115942029
DallasFtWorth,TX,1449,1.544,1.544,0.6176,12352.0,2224.5,2224.5,4000.0,6224.5,6127.5,0.4960735103626943
HarrisburgScranton,PA,2717,1.616,1.616,0.6464000000000001,12928.000000000002,2858.5,2858.5,4000.0,6858.5,6069.500000000002,0.469484839108911
Chicago,IL,2030,1.568,1.568,0.6272000000000001,12544.000000000002,2515.0,2515.0,4000.0,6515.0,6029.000000000002,0.4806281887755103
Houston,TX,1656,1.536,1.536,0.6144000000000001,12288.000000000002,2328.0,2328.0,4000.0,6328.0,5960.000000000002,0.48502604166666674
