City,State,Mileage_miles,avg_retail_price_jun2025,forecast_retail_price_jun2026,planned_wholesale_price,Revenue,Base_Shipping_Cost,Shipping_Cost,Acquisition_Cost,Total_Cost,Profit,Profit_Margin,Contribution_per_Unit,Contribution_Margin_Ratio,Break_Even_Units,Margin_of_Safety_Units,Margin_of_Safety_Pct,Break_Even_Retail_Price
Seattle,WA,1029,2.66,2.66,1.064,21280.0,2014.5,2014.5,4000.0,6014.5,15265.5,0.7173637218045112,0.8640000000000001,0.81203007518797,2331.597222222222,17668.402777777777,0.8834201388888888,0.7518125
Boise,ID,827,2.5940000000000003,2.5940000000000003,1.0376,20752.0,1913.5,1913.5,4000.0,5913.5,14838.5,0.7150395142636854,0.8376000000000001,0.8072474942174249,2284.5033428844313,17715.496657115567,0.8857748328557784,0.7391875
Portland,OR,855,2.542,2.542,1.0168,20336.0,1927.5,1927.5,4000.0,5927.5,14408.5,0.708521833202203,0.8168,0.8033044846577498,2359.818805093046,17640.181194906952,0.8820090597453476,0.7409374999999999
Spokane,WA,1097,2.38,2.38,0.952,19040.0,2048.5,2048.5,4000.0,6048.5,12991.5,0.6823266806722689,0.752,0.7899159663865547,2724.06914893617,17275.93085106383,0.8637965425531915,0.7560625
San Diego,CA,253,2.094,2.094,0.8376,16752.0,1626.5,1626.5,4000.0,5626.5,11125.5,0.6641296561604585,0.6376,0.761222540592168,2550.972396486826,17449.027603513176,0.8724513801756588,0.7033124999999999
San Francisco,CA,283,1.97,1.97,0.788,15760.0,1641.5,1641.5,4000.0,5641.5,10118.5,0.6420368020304569,0.5880000000000001,0.7461928934010152,2791.6666666666665,17208.333333333332,0.8604166666666666,0.7051875
Sacramento,CA,277,1.902,1.902,0.7608,15216.0,1638.5,1638.5,4000.0,5638.5,9577.5,0.629436119873817,0.5608,0.7371188222923238,2921.7189728958633,17078.281027104138,0.8539140513552069,0.7048125
Los Angeles,CA,111,1.8699999999999999,1.8699999999999999,0.748,14960.0,1555.5,1555.5,4000.0,5555.5,9404.5,0.6286430481283423,0.548,0.732620320855615,2838.5036496350363,17161.496350364963,0.8580748175182482,0.6944374999999999
CincinnatiDayton,OH,2190,1.922,1.922,0.7688,15376.0,2595.0,2595.0,4000.0,6595.0,8781.0,0.5710848074921956,0.5688,0.7398543184183142,4562.236286919831,15437.763713080169,0.7718881856540084,0.824375
Las Vegas,NV,286,1.732,1.732,0.6928000000000001,13856.000000000002,1643.0,1643.0,4000.0,5643.0,8213.000000000002,0.5927396073903003,0.49280000000000007,0.7113163972286375,3334.00974025974,16665.99025974026,0.8332995129870131,0.705375
Atlanta,GA,2199,1.8219999999999998,1.8219999999999998,0.7288,14576.0,2599.5,2599.5,4000.0,6599.5,7976.5,0.5472351811196488,0.5287999999999999,0.7255762897914378,4915.847201210288,15084.152798789712,0.7542076399394856,0.8249375
Denver,CO,1032,1.7420000000000002,1.7420000000000002,0.6968000000000001,13936.000000000002,2016.0,2016.0,4000.0,6016.0,7920.000000000002,0.5683122847301952,0.4968000000000001,0.7129735935706085,4057.971014492753,15942.028985507248,0.7971014492753624,0.752
Jacksonville,FL,2440,1.738,1.738,0.6952,13904.0,2720.0,2720.0,4000.0,6720.0,7184.0,0.5166858457997698,0.49520000000000003,0.7123130034522439,5492.730210016155,14507.269789983846,0.7253634894991923,0.84
Columbus,OH,2261,1.7259999999999998,1.7259999999999998,0.6903999999999999,13807.999999999998,2630.5,2630.5,4000.0,6630.5,7177.499999999998,0.5198073580533024,0.4903999999999999,0.7103128621089223,5363.988580750409,14636.011419249591,0.7318005709624795,0.8288125
Boston,MA,2998,1.77,1.77,0.7080000000000001,14160.000000000002,2999.0,2999.0,4000.0,6999.0,7161.000000000002,0.5057203389830509,0.508,0.7175141242937852,5903.543307086614,14096.456692913387,0.7048228346456693,0.874875
PhoenixTucson,AZ,482,1.61,1.61,0.6440000000000001,12880.000000000002,1741.0,1741.0,4000.0,5741.0,7139.000000000002,0.5542701863354038,0.4440000000000001,0.68944099378882,3921.17117117117,16078.82882882883,0.8039414414414415,0.7176250000000001
Louisville,KY,2101,1.7079999999999997,1.7079999999999997,0.6831999999999999,13663.999999999998,2550.5,2550.5,4000.0,6550.5,7113.499999999998,0.5206015807962528,0.4831999999999999,0.7072599531615924,5278.352649006623,14721.647350993377,0.7360823675496688,0.8188124999999999
Orlando,FL,2617,1.698,1.698,0.6792,13584.0,2808.5,2808.5,4000.0,6808.5,6775.5,0.49878533568904593,0.4792,0.7055359246171967,5860.809682804675,14139.190317195325,0.7069595158597662,0.8510624999999999
