City,State,Mileage_miles,avg_retail_price_jun2025,forecast_retail_price_jun2026,planned_wholesale_price,Revenue,Base_Shipping_Cost,Shipping_Cost,Acquisition_Cost,Total_Cost,Profit,Profit_Margin
Seattle,WA,1029,2.66,2.66,1.064,21280.0,2014.5,1007.25,4000.0,5007.25,16272.75,0.7646968984962406
Boise,ID,827,2.5940000000000003,2.5940000000000003,1.0376,20752.0,1913.5,956.75,4000.0,4956.75,15795.25,0.7611435042405551
Portland,OR,855,2.542,2.542,1.0168,20336.0,1927.5,963.75,4000.0,4963.75,15372.25,0.7559131589299763
Spokane,WA,1097,2.38,2.38,0.952,19040.0,2048.5,1024.25,4000.0,5024.25,14015.75,0.7361213235294117
San Diego,CA,253,2.094,2.094,0.8376,16752.0,1626.5,813.25,4000.0,4813.25,11938.75,0.7126760983763133
San Francisco,CA,283,1.97,1.97,0.788,15760.0,1641.5,820.75,4000.0,4820.75,10939.25,0.6941148477157361
Sacramento,CA,277,1.902,1.902,0.7608,15216.0,1638.5,819.25,4000.0,4819.25,10396.75,0.6832774710830705
Los Angeles,CA,111,1.8699999999999999,1.8699999999999999,0.748,14960.0,1555.5,777.75,4000.0,4777.75,10182.25,0.6806316844919786
CincinnatiDayton,OH,2190,1.922,1.922,0.7688,15376.0,2595.0,1297.5,4000.0,5297.5,10078.5,0.6554695629552549
Atlanta,GA,2199,1.8219999999999998,1.8219999999999998,0.7288,14576.0,2599.5,1299.75,4000.0,5299.75,9276.25,0.6364057354555434
Las Vegas,NV,286,1.732,1.732,0.6928000000000001,13856.000000000002,1643.0,821.5,4000.0,4821.5,9034.500000000002,0.6520280023094689
Denver,CO,1032,1.7420000000000002,1.7420000000000002,0.6968000000000001,13936.000000000002,2016.0,1008.0,4000.0,5008.0,8928.000000000002,0.6406429391504019
Boston,MA,2998,1.77,1.77,0.7080000000000001,14160.000000000002,2999.0,1499.5,4000.0,5499.5,8660.500000000002,0.6116172316384181
Jacksonville,FL,2440,1.738,1.738,0.6952,13904.0,2720.0,1360.0,4000.0,5360.0,8544.0,0.6144994246260069
Columbus,OH,2261,1.7259999999999998,1.7259999999999998,0.6903999999999999,13807.999999999998,2630.5,1315.25,4000.0,5315.25,8492.749999999998,0.6150601100811124
