City,State,Mileage_miles,avg_retail_price_jun2025,forecast_retail_price_jun2026,planned_wholesale_price,Revenue,Base_Shipping_Cost,Shipping_Cost,Acquisition_Cost,Total_Cost,Profit,Profit_Margin
Seattle,WA,1029,2.66,2.66,1.064,21280.0,2014.5,3021.75,4000.0,7021.75,14258.25,0.6700305451127819
Boise,ID,827,2.5940000000000003,2.5940000000000003,1.0376,20752.0,1913.5,2870.25,4000.0,6870.25,13881.75,0.6689355242868157
Portland,OR,855,2.542,2.542,1.0168,20336.0,1927.5,2891.25,4000.0,6891.25,13444.75,0.6611305074744296
Spokane,WA,1097,2.38,2.38,0.952,19040.0,2048.5,3072.75,4000.0,7072.75,11967.25,0.628532037815126
San Diego,CA,253,2.094,2.094,0.8376,16752.0,1626.5,2439.75,4000.0,6439.75,10312.25,0.6155832139446036
San Francisco,CA,283,1.97,1.97,0.788,15760.0,1641.5,2462.25,4000.0,6462.25,9297.75,0.5899587563451777
Sacramento,CA,277,1.902,1.902,0.7608,15216.0,1638.5,2457.75,4000.0,6457.75,8758.25,0.5755947686645636
Los Angeles,CA,111,1.8699999999999999,1.8699999999999999,0.748,14960.0,1555.5,2333.25,4000.0,6333.25,8626.75,0.5766544117647059
CincinnatiDayton,OH,2190,1.922,1.922,0.7688,15376.0,2595.0,3892.5,4000.0,7892.5,7483.5,0.4867000520291363
Las Vegas,NV,286,1.732,1.732,0.6928000000000001,13856.000000000002,1643.0,2464.5,4000.0,6464.5,7391.500000000002,0.5334512124711317
Denver,CO,1032,1.7420000000000002,1.7420000000000002,0.6968000000000001,13936.000000000002,2016.0,3024.0,4000.0,7024.0,6912.000000000002,0.4959816303099886
Atlanta,GA,2199,1.8219999999999998,1.8219999999999998,0.7288,14576.0,2599.5,3899.25,4000.0,7899.25,6676.75,0.4580646267837541
PhoenixTucson,AZ,482,1.61,1.61,0.6440000000000001,12880.000000000002,1741.0,2611.5,4000.0,6611.5,6268.500000000002,0.48668478260869574
Columbus,OH,2261,1.7259999999999998,1.7259999999999998,0.6903999999999999,13807.999999999998,2630.5,3945.75,4000.0,7945.75,5862.249999999998,0.4245546060254924
Louisville,KY,2101,1.7079999999999997,1.7079999999999997,0.6831999999999999,13663.999999999998,2550.5,3825.75,4000.0,7825.75,5838.249999999998,0.4272723946135831
Jacksonville,FL,2440,1.738,1.738,0.6952,13904.0,2720.0,4080.0,4000.0,8080.0,5824.0,0.4188722669735328
Boston,MA,2998,1.77,1.77,0.7080000000000001,14160.000000000002,2999.0,4498.5,4000.0,8498.5,5661.500000000002,0.3998234463276837
Indianapolis,IN,2083,1.6620000000000001,1.6620000000000001,0.6648000000000001,13296.000000000002,2541.5,3812.25,4000.0,7812.25,5483.750000000002,0.4124360709987967
Orlando,FL,2617,1.698,1.698,0.6792,13584.0,2808.5,4212.75,4000.0,8212.75,5371.25,0.39541004122497053
Nashville,TN,2022,1.642,1.642,0.6568,13136.000000000002,2511.0,3766.5,4000.0,7766.5,5369.500000000002,0.40876218026796596
Detroit,MI,2296,1.666,1.666,0.6664,13328.0,2648.0,3972.0,4000.0,7972.0,5356.0,0.40186074429771906
DallasFtWorth,TX,1449,1.544,1.544,0.6176,12352.0,2224.5,3336.75,4000.0,7336.75,5015.25,0.4060273639896373
Philadelphia,PA,2759,1.654,1.654,0.6616,13232.0,2879.5,4319.25,4000.0,8319.25,4912.75,0.37127796251511486
New York,NY,2794,1.656,1.656,0.6624,13248.0,2897.0,4345.5,4000.0,8345.5,4902.5,0.3700558574879227
Houston,TX,1656,1.536,1.536,0.6144000000000001,12288.000000000002,2328.0,3492.0,4000.0,7492.0,4796.000000000002,0.39029947916666674
Chicago,IL,2030,1.568,1.568,0.6272000000000001,12544.000000000002,2515.0,3772.5,4000.0,7772.5,4771.500000000002,0.3803810586734695
HarrisburgScranton,PA,2717,1.616,1.616,0.6464000000000001,12928.000000000002,2858.5,4287.75,4000.0,8287.75,4640.250000000002,0.3589302289603961
Tampa,FL,2636,1.566,1.566,0.6264000000000001,12528.000000000002,2818.0,4227.0,4000.0,8227.0,4301.000000000002,0.3433109833971904
Grand Rapids,MI,2193,1.508,1.508,0.6032000000000001,12064.000000000002,2596.5,3894.75,4000.0,7894.75,4169.250000000002,0.3455943302387269
Charlotte,NC,2428,1.524,1.524,0.6096,12192.0,2714.0,4071.0,4000.0,8071.0,4121.0,0.338008530183727
Albany,NY,2832,1.558,1.558,0.6232000000000001,12464.000000000002,2916.0,4374.0,4000.0,8374.0,4090.000000000002,0.3281450577663672
Pittsburgh,PA,2445,1.516,1.516,0.6064,12128.000000000002,2722.5,4083.75,4000.0,8083.75,4044.250000000002,0.3334638852242745
New Orleans,LA,1954,1.4620000000000002,1.4620000000000002,0.5848000000000001,11696.000000000002,2477.0,3715.5,4000.0,7715.5,3980.500000000002,0.34033002735978124
Syracuse,NY,2693,1.516,1.516,0.6064,12128.000000000002,2846.5,4269.75,4000.0,8269.75,3858.250000000002,0.31812747361477584
RaleighGreensboro,NC,2557,1.498,1.498,0.5992000000000001,11984.000000000002,2778.5,4167.75,4000.0,8167.75,3816.250000000002,0.3184454272363152
St. Louis,MO,1841,1.41,1.41,0.564,11279.999999999998,2420.5,3630.75,4000.0,7630.75,3649.249999999998,0.3235150709219857
RichmondNorfolk,VA,2632,1.47,1.47,0.588,11760.0,2816.0,4224.0,4000.0,8224.0,3536.0,0.3006802721088435
BuffaloRochester,NY,2552,1.462,1.462,0.5848,11696.0,2776.0,4164.0,4000.0,8164.0,3532.0,0.301983584131327
BaltimoreWashington,MD,2679,1.472,1.472,0.5888,11776.0,2839.5,4259.25,4000.0,8259.25,3516.75,0.298637058423913
HartfordSpringfield,CT,2906,1.412,1.412,0.5648,11296.0,2953.0,4429.5,4000.0,8429.5,2866.5,0.2537623937677054
