City,Profit_base,Profit_up50,Profit_down50,Rank_base,Rank_up50,Rank_down50,Rank_change_up50,Rank_change_down50
Seattle,15265.5,14258.25,16272.75,1,1,1,0,0
Boise,14838.5,13881.75,15795.25,2,2,2,0,0
Portland,14408.5,13444.75,15372.25,3,3,3,0,0
Spokane,12991.5,11967.25,14015.75,4,4,4,0,0
San Diego,11125.5,10312.25,11938.75,5,5,5,0,0
San Francisco,10118.5,9297.75,10939.25,6,6,6,0,0
Sacramento,9577.5,8758.25,10396.75,7,7,7,0,0
Los Angeles,9404.5,8626.75,10182.25,8,8,8,0,0
CincinnatiDayton,8781.0,7483.5,10078.5,9,9,9,0,0
Las Vegas,8213.000000000002,7391.500000000002,9034.500000000002,10,10,11,0,1
Atlanta,7976.5,6676.75,9276.25,11,12,10,1,-1
Denver,7920.000000000002,6912.000000000002,8928.000000000002,12,11,12,-1,0
Jacksonville,7184.0,5824.0,8544.0,13,16,14,3,1
Columbus,7177.499999999998,5862.249999999998,8492.749999999998,14,14,15,0,1
Boston,7161.000000000002,5661.500000000002,8660.500000000002,15,17,13,2,-2
PhoenixTucson,7139.000000000002,6268.500000000002,8009.500000000002,16,13,19,-3,3
Louisville,7113.499999999998,5838.249999999998,8388.749999999998,17,15,16,-2,-1
Orlando,6775.5,5371.25,8179.75,18,19,17,1,-1
Indianapolis,6754.500000000002,5483.750000000002,8025.250000000002,19,18,18,-1,-1
Detroit,6680.0,5356.0,8004.0,20,21,20,1,0
Nashville,6625.000000000002,5369.500000000002,7880.500000000002,21,20,21,-1,0
Philadelphia,6352.5,4912.75,7792.25,22,23,23,1,1
New York,6351.0,4902.5,7799.5,23,24,22,1,-1
DallasFtWorth,6127.5,5015.25,7239.75,24,22,26,-2,2
HarrisburgScranton,6069.500000000002,4640.250000000002,7498.750000000002,25,27,24,2,-1
Chicago,6029.000000000002,4771.500000000002,7286.500000000002,26,26,25,0,-1
Houston,5960.000000000002,4796.000000000002,7124.000000000002,27,25,27,-2,0
Tampa,5710.000000000002,4301.000000000002,7119.000000000002,28,28,28,0,0
Albany,5548.000000000002,4090.000000000002,7006.000000000002,29,31,29,2,0
Charlotte,5478.0,4121.0,6835.0,30,30,30,0,0
Grand Rapids,5467.500000000002,4169.250000000002,6765.750000000002,31,29,32,-2,1
Pittsburgh,5405.500000000002,4044.250000000002,6766.750000000002,32,32,31,0,-1
Syracuse,5281.500000000002,3858.250000000002,6704.750000000002,33,34,33,1,0
New Orleans,5219.000000000002,3980.500000000002,6457.500000000002,34,33,35,-1,1
RaleighGreensboro,5205.500000000002,3816.250000000002,6594.750000000002,35,35,34,0,-1
RichmondNorfolk,4944.0,3536.0,6352.0,36,37,37,1,1
BaltimoreWashington,4936.5,3516.75,6356.25,37,39,36,2,-1
BuffaloRochester,4920.0,3532.0,6308.0,38,38,38,0,0
St. Louis,4859.499999999998,3649.249999999998,6069.749999999998,39,36,39,-3,0
HartfordSpringfield,4343.0,2866.5,5819.5,40,40,40,0,0
