month,Type,mean_price,mean_monthly_volume
1,conventional,1.0726291666666667,109658890.0
2,conventional,1.06809375,103003168.66666667
3,conventional,1.1548083333333334,108407863.0
4,conventional,1.2462916666666668,99451104.66666667
5,conventional,1.26738125,111397831.83333333
6,conventional,1.2876833333333335,100252608.33333333
7,conventional,1.2967854166666666,97602855.83333333
8,conventional,1.23088125,97109875.16666667
9,conventional,1.199975,96130047.16666667
10,conventional,1.1679604166666666,97177507.5
11,conventional,1.1391145833333332,86281085.66666667
12,conventional,1.1002875,94614592.0
1,organic,1.5521625,5830885.333333333
2,organic,1.5479375,5040480.833333333
3,organic,1.6015395833333332,5647166.833333333
4,organic,1.70308125,5222384.166666667
5,organic,1.7684604166666666,5570309.0
6,organic,1.7974604166666666,4964586.0
7,organic,1.8659,4544093.333333333
8,organic,1.85155625,4559335.166666667
9,organic,1.8005145833333334,4697128.666666667
10,organic,1.7232291666666668,4767942.833333333
11,organic,1.6807625,4453673.166666667
12,organic,1.6212208333333333,5096865.833333333
